Kategori,Model,Slug,Varian,Harga Referensi (Rp),Dasar Harga,Warna Tampil,Catatan,Sumber Yamaha,Tanggal Akses,Path Gambar Placeholder
MAXI,AEROX 155,aerox-155,Connected/ABS,32115000,Harga Rekomendasi OTR Jakarta,Prestige Silver,,https://www.yamaha-motor.co.id/product/all-new-aerox155-connected/,2026-08-07,images/produk/aerox-155.webp
MAXI,AEROX 155,aerox-155,CyberCity,29580000,Harga Rekomendasi OTR Jakarta,Prestige Silver,,https://www.yamaha-motor.co.id/product/all-new-aerox155-connected/,2026-08-07,images/produk/aerox-155.webp
MAXI,AEROX 155,aerox-155,Standard,29380000,Harga Rekomendasi OTR Jakarta,Prestige Silver,,https://www.yamaha-motor.co.id/product/all-new-aerox155-connected/,2026-08-07,images/produk/aerox-155.webp
MAXI,AEROX ALPHA,aerox-alpha,"""TURBO"" 70th Livery",40450000,Harga Rekomendasi OTR Jakarta,Elixir Dark Silver,,https://www.yamaha-motor.co.id/product/aerox-alpha/,2026-08-07,images/produk/aerox-alpha.webp
MAXI,AEROX ALPHA,aerox-alpha,"""TURBO"" Ultimate",42230000,Harga Rekomendasi OTR Jakarta,Elixir Dark Silver,,https://www.yamaha-motor.co.id/product/aerox-alpha/,2026-08-07,images/produk/aerox-alpha.webp
MAXI,AEROX ALPHA,aerox-alpha,"""TURBO""",40050000,Harga Rekomendasi OTR Jakarta,Elixir Dark Silver,,https://www.yamaha-motor.co.id/product/aerox-alpha/,2026-08-07,images/produk/aerox-alpha.webp
MAXI,AEROX ALPHA,aerox-alpha,CyberCity ABS,34790000,Harga Rekomendasi OTR Jakarta,Elixir Dark Silver,,https://www.yamaha-motor.co.id/product/aerox-alpha/,2026-08-07,images/produk/aerox-alpha.webp
MAXI,AEROX ALPHA,aerox-alpha,Cybercity,31250000,Harga Rekomendasi OTR Jakarta,Elixir Dark Silver,,https://www.yamaha-motor.co.id/product/aerox-alpha/,2026-08-07,images/produk/aerox-alpha.webp
MAXI,AEROX ALPHA,aerox-alpha,Standard,30700000,Harga Rekomendasi OTR Jakarta,Elixir Dark Silver,,https://www.yamaha-motor.co.id/product/aerox-alpha/,2026-08-07,images/produk/aerox-alpha.webp
MAXI,LEXi LX 155,lexi-lx-155,Connected/ABS,32500000,Harga Rekomendasi OTR Jakarta,Ceramic Grey,,https://www.yamaha-motor.co.id/product/lexi-lx-155/,2026-08-07,images/produk/lexi-lx-155.webp
MAXI,LEXi LX 155,lexi-lx-155,S Version,29650000,Harga Rekomendasi OTR Jakarta,Ceramic Grey,,https://www.yamaha-motor.co.id/product/lexi-lx-155/,2026-08-07,images/produk/lexi-lx-155.webp
MAXI,LEXi LX 155,lexi-lx-155,Standard,27850000,Harga Rekomendasi OTR Jakarta,Ceramic Grey,,https://www.yamaha-motor.co.id/product/lexi-lx-155/,2026-08-07,images/produk/lexi-lx-155.webp
MAXI,NMAX,nmax,"""TURBO"" TECH MAX Ultimate",46945000,Harga Rekomendasi OTR Jakarta (termasuk aksesori),Ceramic Grey,Harga resmi mencakup aksesori.,https://www.yamaha-motor.co.id/product/nmax-turbo/,2026-08-07,images/produk/nmax.webp
MAXI,NMAX,nmax,"""TURBO"" TECH MAX Special Livery",45365000,Harga Rekomendasi OTR Jakarta,Ceramic Grey,,https://www.yamaha-motor.co.id/product/nmax-turbo/,2026-08-07,images/produk/nmax.webp
MAXI,NMAX,nmax,"""TURBO"" TECH MAX",44965000,Harga Rekomendasi OTR Jakarta (termasuk aksesori),Ceramic Grey,Harga resmi mencakup aksesori.,https://www.yamaha-motor.co.id/product/nmax-turbo/,2026-08-07,images/produk/nmax.webp
MAXI,NMAX,nmax,"""TURBO""",39465000,Harga Rekomendasi OTR Jakarta (termasuk aksesori),Ceramic Grey,Harga resmi mencakup aksesori.,https://www.yamaha-motor.co.id/product/nmax-turbo/,2026-08-07,images/produk/nmax.webp
MAXI,NMAX,nmax,Neo S MAX Special Livery,35955000,Harga Rekomendasi OTR Jakarta,Ceramic Grey,,https://www.yamaha-motor.co.id/product/nmax-turbo/,2026-08-07,images/produk/nmax.webp
MAXI,NMAX,nmax,Neo S Version,35555000,Harga Rekomendasi OTR Jakarta (termasuk aksesori),Ceramic Grey,Harga resmi mencakup aksesori.,https://www.yamaha-motor.co.id/product/nmax-turbo/,2026-08-07,images/produk/nmax.webp
MAXI,NMAX,nmax,Neo MAX Special Livery,34965000,Harga Rekomendasi OTR Jakarta,Ceramic Grey,,https://www.yamaha-motor.co.id/product/nmax-turbo/,2026-08-07,images/produk/nmax.webp
